state_name,delay_s,m1_disp_mm,m1_speed_mms,m2_disp_mm,m2_speed_mms,m3_disp_mm,m3_speed_mms,m4_disp_mm,m4_speed_mms,m5_disp_mm,m5_speed_mms,m6_disp_mm,m6_speed_mms
Home,1.5,0,20,0,20,0,20,0,20,0,20,0,20
Bend_Forward,2.0,30,30,30,30,-30,30,-30,30,0,20,0,20
Bend_Backward,2.0,-30,30,-30,30,30,30,30,30,0,20,0,20
Bend_Left,2.0,30,25,-30,25,0,20,0,20,30,25,-30,25
Bend_Right,2.0,-30,25,30,25,0,20,0,20,-30,25,30,25
Elongate,2.0,-20,20,-20,20,-20,20,-20,20,-20,20,-20,20
Shorten,2.0,40,20,40,20,40,20,40,20,40,20,40,20
Spiral_CW,2.5,20,15,10,15,-10,15,-20,15,-10,15,10,15
Spiral_CCW,2.5,-20,15,-10,15,10,15,20,15,10,15,-10,15
Tip_Up,2.0,25,25,25,25,25,25,-25,25,-25,25,-25,25
Home,1.0,0,40,0,40,0,40,0,40,0,40,0,40
